"","","","","","",""
"2041284","NEWCASTLE","9/11/2023","17:11 PM","114","86","Environmental"
"2041292","MARRICKVILLE","9/11/2023","17:11 PM","139","108","Environmental"
"2041398","HURSTVILLE","10/11/2023","7:11 AM","1028","127","Third party"
"2041362","LAKE MACQUARIE","10/11/2023","13:11 PM","203","328","Equipment fault"
"2041612","RANDWICK","10/11/2023","19:11 PM","60","842","Equipment fault"
"2041614","NEWCASTLE","10/11/2023","19:11 PM","539","73","Environmental"
"2041646","SUTHERLAND","11/11/2023","4:11 AM","376","232","Environmental"
"2041678","MARRICKVILLE","11/11/2023","10:11 AM","188","485","Equipment fault"
"2041694","RANDWICK","11/11/2023","12:11 PM","62","381","Equipment fault"
"2041736","PITTWATER","11/11/2023","18:11 PM","51","70","Environmental"
"2041788","LAKE MACQUARIE","11/11/2023","23:11 PM","1229","36","Environmental"
"2041934","MERRIWA","13/11/2023","10:11 AM","251","97","Equipment fault"
"2042084","AUBURN","13/11/2023","21:11 PM","59","122","Third party"
"2042112","BANKSTOWN","14/11/2023","7:11 AM","160","91","Equipment fault"
"2042266","DRUMMOYNE","14/11/2023","18:11 PM","64","100","Environmental"
"2042275","PORT STEPHENS","14/11/2023","20:11 PM","3688","10","Equipment fault"
"2042296","HORNSBY","15/11/2023","2:11 AM","1165","65","Equipment fault"
"2042343","LANE COVE","15/11/2023","10:11 AM","1894","192","Equipment fault"
"2042384","LAKE MACQUARIE","15/11/2023","13:11 PM","90","67","Third party"
"2042485","SINGLETON","16/11/2023","7:11 AM","333","57","Equipment fault"
"2042538","MERRIWA","16/11/2023","13:11 PM","108","23","Equipment fault"
"2042617","KU-RING-GAI","16/11/2023","15:11 PM","706","68","Equipment fault"
"2042679","ROCKDALE","16/11/2023","22:11 PM","8426","40","Environmental"
"2042719","WYONG","17/11/2023","3:11 AM","1116","134","Environmental"
"2042787","WYONG","17/11/2023","9:11 AM","448","27","Environmental"
"2042864","ASHFIELD","17/11/2023","14:11 PM","68","40","Environmental"
"2042913","WYONG","17/11/2023","22:11 PM","53","90","Equipment fault"
"2042928","PITTWATER","18/11/2023","3:11 AM","981","131","Equipment fault"
"2042963","MANLY","18/11/2023","9:11 AM","1401","9","Operating fault"
"2042984","AUBURN","18/11/2023","11:11 AM","158","390","Environmental"
"2043047","NORTH SYDNEY","19/11/2023","1:11 AM","1919","123","Equipment fault"
"2100673","HORNSBY","19/11/2023","4:11 AM","620","20","Environmental"
"2043073","CANTERBURY","19/11/2023","13:11 PM","2242","67","Equipment fault"
"2043097","NEWCASTLE","19/11/2023","14:11 PM","64","195","Equipment fault"
"2043082","PORT STEPHENS","19/11/2023","15:11 PM","688","2,017","Equipment fault"
"2043321","CANADA BAY","20/11/2023","13:11 PM","58","132","Third party"
"2043385","NEWCASTLE","20/11/2023","15:11 PM","123","67","Equipment fault"
"2043417","CANTERBURY","20/11/2023","17:11 PM","61","65","Environmental"
"2043447","NEWCASTLE","20/11/2023","20:11 PM","1174","35","Environmental"
"2047006","SUTHERLAND","21/11/2023","9:11 AM","56","22","Equipment fault"
"2047255","AUBURN","21/11/2023","10:11 AM","248","61","Equipment fault"
"2049263","AUBURN","21/11/2023","14:11 PM","66","652","Third party"
"2049383","LEICHHARDT","21/11/2023","22:11 PM","88","68","Environmental"
"2049391","MANLY","22/11/2023","2:11 AM","97","797","Equipment fault"
